doc_id,year,post2017,post2021,case_domain,contract_validity,contract_invalid,contract_invalid_strict,amount_master_cny,llm_top_case_amount_cny,regex_text_amount_max_cny,amount_master_source,amount_regex_fallback_flag,amount_llm_regex_conflict_flag,log_amount_master,high_amount,log_llm_case_amount,log_regex_text_max,amount_quartile,region_province,region_city,region_macro,region_source,region_big4,court_level_group,cause_group,activity_group
0004eca6-287f-431c-968c-ac5c00be4303,2020.0,1.0,0.0,刑事,,,,2100.0,2100.0,3000.0,llm_top_case_amount,0,0,7.650168700845001,0.0,7.650168700845001,8.006700845440367,Q1最低,浙江,宁波市,东部,cpca_court,1,基层法院,走私、贩卖、运输、制造毒品罪,未分类
00088cd3-9fe7-49a2-ba74-b23000314424,2023.0,1.0,1.0,刑事,,,,900000.0,900000.0,10000.0,llm_top_case_amount,0,1,13.710151153416941,1.0,13.710151153416941,9.210440366976517,Q4最高,湖南,岳阳市,中部,cpca_court,0,基层法院,帮助信息网络犯罪活动罪,场外交易(OTC)
0014061e-e139-439b-b45a-a9c200d071bd,2018.0,1.0,0.0,刑事,,,,1041848.0,1041848.0,1041848.0,llm_top_case_amount,0,0,13.856507577166816,1.0,13.856507577166816,13.856507577166816,Q4最高,江苏,南京市,东部,cpca_court,0,基层法院,其他,技术服务
0019e48c-7aae-4794-a924-aaee008db447,2019.0,1.0,0.0,刑事,,,,2086008.73,2086008.73,2925173.73,llm_top_case_amount,0,0,14.550763578961506,1.0,14.550763578961506,14.888864773616062,Q4最高,湖南,娄底市,中部,cpca_court,0,基层法院,诈骗罪,未分类
001deda5-d5be-4464-8fc7-b126015526e1,2023.0,1.0,1.0,民商事,部分无效,1.0,1.0,50000.0,50000.0,243079.5,llm_top_case_amount,0,0,10.819798284210286,0.0,10.819798284210286,12.401147943183163,Q2,河南,新乡市,中部,cpca_court,0,基层法院,买卖合同纠纷,委托理财/代投
00284eb4-ed66-468e-89f4-ac6a0019ef30,2020.0,1.0,0.0,民商事,有效,0.0,0.0,117530.0,117530.0,2209860000.0,llm_top_case_amount,0,0,11.674457407556627,0.0,11.674457407556627,21.516195002505704,Q2,四川,乐山市,西部,cpca_court,0,中级法院,合同纠纷,挖矿
003459f4-1751-46cc-9d9c-ae82008cf150,2022.0,1.0,1.0,民商事,有效,0.0,0.0,20000.0,20000.0,550000.0,llm_top_case_amount,0,0,9.90353755128617,0.0,9.90353755128617,13.217675375388819,Q1最低,湖北,武汉市,中部,cpca_court,0,基层法院,合同纠纷,未分类
00354bf2-f53b-476f-b505-ab35011ef218,2019.0,1.0,0.0,民商事,有效,0.0,0.0,1500.0,1500.0,1500.0,llm_top_case_amount,0,0,7.313886831633462,0.0,7.313886831633462,7.313886831633462,Q1最低,新疆,乌鲁木齐市,西部,cpca_court,0,基层法院,委托合同纠纷,委托理财/代投
003560b3-b4f4-4793-8a27-ae040104843e,2021.0,1.0,1.0,民商事,无效,1.0,1.0,54613.0,54613.0,109226.0,llm_top_case_amount,0,0,10.908045539121915,0.0,10.908045539121915,11.601183564478271,Q2,广东,深圳市,东部,cpca_court,1,基层法院,买卖合同纠纷,买卖合同
003b58f2-39b6-435e-9492-a85100b0af2d,2017.0,1.0,0.0,刑事,,,,230000.0,230000.0,10000.0,llm_top_case_amount,0,1,12.345838935721968,1.0,12.345838935721968,9.210440366976517,Q3,浙江,舟山市,东部,cpca_court,1,基层法院,赌博罪,其他
