model,term,coef,std_err,p_value,ci_low,ci_high,nobs,rsquared,dep_mean,note,error,odds_ratio,pseudo_rsquared
m1_lpm_baseline,post2021,0.0766915737405968,0.01250996584481816,8.763730006740989e-10,0.05217249123692702,0.10121065624426659,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,log_amount_master,0.0025108619455579506,0.003175200160335375,0.4290765806209532,-0.00371241601240519,0.008734139903521091,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,amount_llm_regex_conflict_flag,-0.055038092383940806,0.0237160179239437,0.020302290175657496,-0.10152063337157684,-0.008555551396304775,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,amount_regex_fallback_flag,0.18090666833421845,0.03807427879340669,2.019988856121453e-06,0.1062824531618042,0.2555308835066327,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m2_lpm_amount_interaction,post2021,0.07700697913241437,0.016557237928887823,3.30400399071669e-06,0.04455538910833368,0.10945856915649507,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,high_amount,0.008915790946519897,0.024029485486654574,0.7106111284353982,-0.038181135174351004,0.0560127170673908,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,post2021:high_amount,-0.000729963575334469,0.02490070048831937,0.9766133784905915,-0.04953443972225937,0.048074512571590435,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,log_amount_master,0.0009001767520591989,0.004475210057404823,0.8405833396701619,-0.007871073783705683,0.00967142728782408,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,amount_llm_regex_conflict_flag,-0.054868229512326824,0.02373832909390376,0.02081203644969969,-0.10139449958953753,-0.00834195943511612,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,amount_regex_fallback_flag,0.17945361982826769,0.03819465745375138,2.6221285251578224e-06,0.10459346681707066,0.2543137728394647,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m3_lpm_activity_year,log_amount_master,0.003302245620367042,0.0030088651441620294,0.27242053937271105,-0.0025950216965284533,0.009199512937262538,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,amount_llm_regex_conflict_flag,-0.04956095032611982,0.021437876603992195,0.02078647731077134,-0.09157841637495837,-0.007543484277281277,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,amount_regex_fallback_flag,0.1851860331187604,0.03816884936580279,1.223716778207413e-06,0.11037646303045244,0.2599956032070683,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m4_lpm_region_big4,region_big4,-0.08242498577224944,0.013633044733385117,1.4851330532050078e-09,-0.10914526244930772,-0.055704709095191145,5696,0.17160820112019415,0.4743679775280899,LPM on mapped-region sample: Beijing/Shanghai/Guangdong/Zhejiang indicator.,,,
m4_lpm_region_big4,log_amount_master,0.004618397864988017,0.003163742191180821,0.14434791488662502,-0.0015824228860962268,0.010819218616072261,5696,0.17160820112019415,0.4743679775280899,LPM on mapped-region sample: Beijing/Shanghai/Guangdong/Zhejiang indicator.,,,
m4_lpm_region_big4,amount_llm_regex_conflict_flag,-0.044679039895825216,0.02421172568334341,0.06498705034221457,-0.09213315023874173,0.002775070447091299,5696,0.17160820112019415,0.4743679775280899,LPM on mapped-region sample: Beijing/Shanghai/Guangdong/Zhejiang indicator.,,,
m4_lpm_region_big4,amount_regex_fallback_flag,0.18695434428306712,0.03857180258851082,1.2539455268670193e-06,0.11135500039079708,0.26255368817533714,5696,0.17160820112019415,0.4743679775280899,LPM on mapped-region sample: Beijing/Shanghai/Guangdong/Zhejiang indicator.,,,
m5_lpm_region_macro,log_amount_master,0.0028275159032868117,0.00317044665713248,0.3724812757620508,-0.0033864453595982584,0.009041477166171881,5696,0.1694173733151354,0.4743679775280899,LPM on mapped-region sample: macro-region categories.,,,
m5_lpm_region_macro,amount_llm_regex_conflict_flag,-0.05147059915212023,0.023966562384800535,0.03174551300313216,-0.09844419825956166,-0.004497000044678796,5696,0.1694173733151354,0.4743679775280899,LPM on mapped-region sample: macro-region categories.,,,
m5_lpm_region_macro,amount_regex_fallback_flag,0.17883053271665225,0.03852066983822285,3.442911981013927e-06,0.1033314071733771,0.25432965825992737,5696,0.1694173733151354,0.4743679775280899,LPM on mapped-region sample: macro-region categories.,,,
m6_lpm_llm_amount,post2021,0.07472925908297431,0.01266255497278261,3.6000610191560794e-09,0.049911107384061834,0.0995474107818868,5581,0.16827256136150126,0.46927074001075075,LPM using LLM top-level amount instead of master amount.,,,
m6_lpm_llm_amount,log_llm_case_amount,0.0036257721381491746,0.0033089159510194454,0.273184559010234,-0.00285958395371904,0.01011112823001739,5581,0.16827256136150126,0.46927074001075075,LPM using LLM top-level amount instead of master amount.,,,
