model,term,coef,std_err,p_value,ci_low,ci_high,nobs,rsquared,dep_mean,note,year
event_study_2020_base,year_2014,-0.05137211499255468,0.05458823452826655,0.34666180585745965,-0.15836308864758294,0.055618858662473576,5166,0.17768959053144784,0.4248935346496322,事件研究；2020年为省略基准年。,2014
event_study_2020_base,year_2015,-0.23691280973951184,0.10448232962937057,0.02336020857226811,-0.4416944128339203,-0.032131206645103355,5166,0.17768959053144784,0.4248935346496322,事件研究；2020年为省略基准年。,2015
event_study_2020_base,year_2016,-0.14937274460075503,0.0778360174038069,0.054975510193229916,-0.3019285354122494,0.0031830462107393376,5166,0.17768959053144784,0.4248935346496322,事件研究；2020年为省略基准年。,2016
event_study_2020_base,year_2017,0.02188453756905811,0.03338744775805272,0.5121639002571272,-0.043553657572437794,0.08732273271055402,5166,0.17768959053144784,0.4248935346496322,事件研究；2020年为省略基准年。,2017
event_study_2020_base,year_2018,-0.015932771901543567,0.03115291822867038,0.6090447131858145,-0.07699136964305885,0.04512582583997171,5166,0.17768959053144784,0.4248935346496322,事件研究；2020年为省略基准年。,2018
event_study_2020_base,year_2019,0.0759866242018045,0.04766987989368509,0.11093210864155953,-0.01744462353716833,0.16941787194077734,5166,0.17768959053144784,0.4248935346496322,事件研究；2020年为省略基准年。,2019
,base_2020,0.0,0.0,,0.0,0.0,5166,,,2020 omitted base year,2020
event_study_2020_base,year_2021,0.04354046778993081,0.023497870095660466,0.0638889802125738,-0.0025145113109644596,0.08959544689082607,5166,0.17768959053144784,0.4248935346496322,事件研究；2020年为省略基准年。,2021
event_study_2020_base,year_2022,0.10411090452620307,0.0273147318354803,0.0001381096030829926,0.050575013881292034,0.1576467951711141,5166,0.17768959053144784,0.4248935346496322,事件研究；2020年为省略基准年。,2022
event_study_2020_base,year_2023,0.12388521837693428,0.020730045520915227,2.2851613915935794e-09,0.08325507575806457,0.164515360995804,5166,0.17768959053144784,0.4248935346496322,事件研究；2020年为省略基准年。,2023
event_study_2020_base,year_2024,0.15003688174242463,0.03459205054348817,1.4422887573267675e-05,0.08223770852579862,0.21783605495905065,5166,0.17768959053144784,0.4248935346496322,事件研究；2020年为省略基准年。,2024
