field,group,kind,tp,fp,fn,gold_positive,pred_positive,precision,recall,f1,documents,exact_documents,exact_match_rate
case_amount,primary,scalar,15,4,4,19,19,0.7894736842105263,0.7894736842105263,0.7894736842105263,20,16,0.8
judicial_analysis.contract_validity,primary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
virtual_currency_info.activity_types,primary,list,26,2,11,37,28,0.9285714285714286,0.7027027027027027,0.7999999999999999,20,10,0.5
case_amount_type,secondary,scalar,12,7,7,19,19,0.631578947368421,0.631578947368421,0.631578947368421,20,13,0.65
metadata.court_level,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
metadata.judgment_date,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
metadata.region,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
case_profile.case_type_primary,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
case_profile.case_type_secondary,secondary,scalar,17,3,3,20,20,0.85,0.85,0.85,20,17,0.85
case_profile.procedure_stage,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
case_profile.is_appeal,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
virtual_currency_info.currency_types,secondary,list,17,5,13,30,22,0.7727272727272727,0.5666666666666667,0.6538461538461539,20,10,0.5
judicial_analysis.legal_characterization,secondary,scalar,18,2,2,20,20,0.9,0.9,0.9,20,18,0.9
judicial_analysis.virtual_currency_property_status,secondary,scalar,20,0,0,20,20,1.0,1.0,1.0,20,20,1.0
judicial_analysis.transaction_legality_assessment,secondary,scalar,16,4,4,20,20,0.8,0.8,0.8000000000000002,20,16,0.8
judicial_analysis.reasons_for_invalidity_or_no_protection,secondary,list,6,1,19,25,7,0.8571428571428571,0.24,0.375,20,12,0.6
judicial_analysis.cited_policies,secondary,list,1,1,0,1,2,0.5,1.0,0.6666666666666666,20,19,0.95
judicial_analysis.policy_labels,secondary,list,1,1,0,1,2,0.5,1.0,0.6666666666666666,20,19,0.95
judicial_analysis.judicial_framing,secondary,list,16,5,28,44,21,0.7619047619047619,0.36363636363636365,0.4923076923076923,20,4,0.2
