doc_id,year,post2021,case_domain,contract_validity,contract_invalid,contract_invalid_strict,activity_type,transaction_type,index_case_cause,amount_master_cny,llm_top_case_amount_cny,regex_text_amount_max_cny,log_amount_master,log_llm_case_amount,log_regex_text_max,amount_quartile,q4_amount,amount_master_source,amount_regex_fallback_flag,amount_llm_regex_conflict_flag,region_province,region_city,region_macro,region_big4,court_level_group,cause_group
0004eca6-287f-431c-968c-ac5c00be4303,2020.0,0.0,刑事,,,,,其他/未分类,走私、贩卖、运输、制造毒品罪,2100.0,2100.0,3000.0,7.650168700845001,7.650168700845001,8.006700845440367,Q1最低,0,llm_top_case_amount,0,0,浙江,宁波市,东部,1,基层法院,走私、贩卖、运输、制造毒品罪
00088cd3-9fe7-49a2-ba74-b23000314424,2023.0,1.0,刑事,,,,场外交易(OTC),交易/买卖,帮助信息网络犯罪活动罪,900000.0,900000.0,10000.0,13.71015115341694,13.71015115341694,9.210440366976515,Q4最高,1,llm_top_case_amount,0,1,湖南,岳阳市,中部,0,基层法院,帮助信息网络犯罪活动罪
0014061e-e139-439b-b45a-a9c200d071bd,2018.0,0.0,刑事,,,,技术服务,技术服务,非法侵入计算机信息系统罪,1041848.0,1041848.0,1041848.0,13.856507577166816,13.856507577166816,13.856507577166816,Q4最高,1,llm_top_case_amount,0,0,江苏,南京市,东部,0,基层法院,其他
0019e48c-7aae-4794-a924-aaee008db447,2019.0,0.0,刑事,,,,,其他/未分类,诈骗罪,2086008.73,2086008.73,2925173.73,14.550763578961506,14.550763578961506,14.888864773616062,Q4最高,1,llm_top_case_amount,0,0,湖南,娄底市,中部,0,基层法院,诈骗罪
001deda5-d5be-4464-8fc7-b126015526e1,2023.0,1.0,民商事,部分无效,1.0,1.0,委托理财/代投,投资/理财,买卖合同纠纷,50000.0,50000.0,243079.5,10.819798284210286,10.819798284210286,12.401147943183163,Q2,0,llm_top_case_amount,0,0,河南,新乡市,中部,0,基层法院,买卖合同纠纷
00284eb4-ed66-468e-89f4-ac6a0019ef30,2020.0,0.0,民商事,有效,0.0,0.0,挖矿,挖矿,合同纠纷,117530.0,117530.0,2209860000.0,11.674457407556629,11.674457407556629,21.516195002505704,Q2,0,llm_top_case_amount,0,0,四川,乐山市,西部,0,中级法院,合同纠纷
003459f4-1751-46cc-9d9c-ae82008cf150,2022.0,1.0,民商事,有效,0.0,0.0,,其他民商事,合同纠纷,20000.0,20000.0,550000.0,9.90353755128617,9.90353755128617,13.21767537538882,Q1最低,0,llm_top_case_amount,0,0,湖北,武汉市,中部,0,基层法院,合同纠纷
00354bf2-f53b-476f-b505-ab35011ef218,2019.0,0.0,民商事,有效,0.0,0.0,委托理财/代投,投资/理财,委托合同纠纷,1500.0,1500.0,1500.0,7.313886831633462,7.313886831633462,7.313886831633462,Q1最低,0,llm_top_case_amount,0,0,新疆,乌鲁木齐市,西部,0,基层法院,委托合同纠纷
003560b3-b4f4-4793-8a27-ae040104843e,2021.0,1.0,民商事,无效,1.0,1.0,买卖合同,交易/买卖,买卖合同纠纷,54613.0,54613.0,109226.0,10.908045539121916,10.908045539121916,11.601183564478273,Q2,0,llm_top_case_amount,0,0,广东,深圳市,东部,1,基层法院,买卖合同纠纷
003b58f2-39b6-435e-9492-a85100b0af2d,2017.0,0.0,刑事,,,,虚拟货币与法定货币兑换,其他/未分类,赌博罪,230000.0,230000.0,10000.0,12.345838935721968,12.345838935721968,9.210440366976515,Q3,0,llm_top_case_amount,0,1,浙江,舟山市,东部,1,基层法院,赌博罪
00480131-7b71-495c-b33f-b20d01432e9d,2023.0,1.0,民商事,无效,1.0,1.0,场外交易(OTC),交易/买卖,买卖合同纠纷,29330.16,29330.16,544123.0,10.286405711138276,10.286405711138276,13.206932441039909,Q1最低,0,llm_top_case_amount,0,0,四川,乐山市,西部,0,基层法院,买卖合同纠纷
0051f4d9-e45b-4084-be3e-ac5b00a74f9b,2020.0,0.0,民商事,未成立,1.0,1.0,委托理财/代投,投资/理财,民间借贷纠纷,50000.0,50000.0,50000.0,10.819798284210286,10.819798284210286,10.819798284210286,Q2,0,llm_top_case_amount,0,0,山东,枣庄市,东部,0,中级法院,民间借贷纠纷
00568c00-d718-4376-a780-aff10015beb9,2022.0,1.0,刑事,,,,技术服务,技术服务,帮助信息网络犯罪活动罪,900000.0,900000.0,30000.0,13.71015115341694,13.71015115341694,10.308985993422082,Q4最高,1,llm_top_case_amount,0,1,湖北,荆门市,中部,0,基层法院,帮助信息网络犯罪活动罪
00625ad3-2104-47fe-8fbe-adac00e111f5,2021.0,1.0,民商事,有效,0.0,0.0,委托理财/代投,投资/理财,民间借贷纠纷,50000.0,50000.0,50000.0,10.819798284210286,10.819798284210286,10.819798284210286,Q2,0,llm_top_case_amount,0,0,湖南,衡阳市,中部,0,基层法院,民间借贷纠纷
