field,group,kind,tp,fp,fn,gold_positive,pred_positive,precision,recall,f1,documents,exact_documents,exact_match_rate
case_amount,primary,scalar,6,2,4,10,8,0.75,0.6,0.6666666666666665,10,6,0.6
judicial_analysis.contract_validity,primary,scalar,8,2,2,10,10,0.8,0.8,0.8000000000000002,10,8,0.8
virtual_currency_info.activity_types,primary,list,11,1,5,16,12,0.9166666666666666,0.6875,0.7857142857142857,10,5,0.5
case_amount_type,secondary,scalar,6,2,4,10,8,0.75,0.6,0.6666666666666665,10,6,0.6
metadata.court_level,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
metadata.judgment_date,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
metadata.region,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
case_profile.case_type_primary,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
case_profile.case_type_secondary,secondary,scalar,9,1,1,10,10,0.9,0.9,0.9,10,9,0.9
case_profile.procedure_stage,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
case_profile.is_appeal,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
virtual_currency_info.currency_types,secondary,list,11,1,6,17,12,0.9166666666666666,0.6470588235294118,0.7586206896551724,10,5,0.5
judicial_analysis.legal_characterization,secondary,scalar,8,2,1,9,10,0.8,0.8888888888888888,0.8421052631578948,10,8,0.8
judicial_analysis.virtual_currency_property_status,secondary,scalar,10,0,0,10,10,1.0,1.0,1.0,10,10,1.0
judicial_analysis.transaction_legality_assessment,secondary,scalar,6,4,4,10,10,0.6,0.6,0.6,10,6,0.6
judicial_analysis.reasons_for_invalidity_or_no_protection,secondary,list,3,0,12,15,3,1.0,0.2,0.33333333333333337,10,3,0.3
judicial_analysis.cited_policies,secondary,list,1,0,0,1,1,1.0,1.0,1.0,10,10,1.0
judicial_analysis.policy_labels,secondary,list,1,0,0,1,1,1.0,1.0,1.0,10,10,1.0
judicial_analysis.judicial_framing,secondary,list,11,1,13,24,12,0.9166666666666666,0.4583333333333333,0.611111111111111,10,2,0.2
