doc_id,status,model,temperature,case_amount,case_amount_type,metadata__case_number,metadata__court_name,metadata__court_level,metadata__judgment_date,metadata__first_instance_case_number,metadata__region,metadata__doc_type,case_profile__case_type_primary,case_profile__case_type_secondary,case_profile__procedure_stage,case_profile__is_appeal,case_profile__litigant_profile__plaintiff_types,case_profile__litigant_profile__defendant_types,virtual_currency_info__involved,virtual_currency_info__currency_types,virtual_currency_info__activity_types,judicial_analysis__legal_characterization,judicial_analysis__virtual_currency_property_status,judicial_analysis__direct_transaction_legality_assessment,judicial_analysis__indirect_transaction_legality_assessment,judicial_analysis__direct_related_contract_validity,judicial_analysis__indirect_related_contract_validity,judicial_analysis__reasons_for_invalidity_or_no_protection,judicial_analysis__cited_laws,judicial_analysis__cited_policies,judicial_analysis__policy_labels,judicial_analysis__judicial_framing,llm_summary__outcome_summary,llm_summary__reasoning_summary,low_confidence_fields
d482aaee-3b45-487f-a26e-ae1300ce2702,ok,deepseek-v4-pro,0,108000,借款本金,（2021）晋11民终459号,山西省吕梁市中级人民法院,中级法院,2021-03-25,,山西,判决书,民事,民间借贷纠纷,二审,1,"[""自然人""]","[""自然人""]",1,"[""虚拟货币""]","[""买卖/兑换""]",民间借贷,未明确,未明确,不适用,不适用,有效,[],"[""《中华人民共和国民法通则》第八十四条"",""《中华人民共和国民法通则》第九十条"",""《中华人民共和国民法通则》第一百零八条"",""《中华人民共和国合同法》第二百零六条"",""《中华人民共和国合同法》第二百一十条"",""《最高人民法院关于审理涉及夫妻债务纠纷案件适用法律有关问题的解释》第三条"",""《中华人民共和国民事诉讼法》第一百四十四条"",""《最高人民法院关于适用<中华人民共和国民事诉讼法>的解释》第九十条"",""《中华人民共和国民事诉讼法》第一百七十条第一款第（一）项""]",[],[],"[""返还本金""]",维持原判，高某偿还借款本金108000元,法院认定借贷关系合法有效，高某应偿还借款；冯某未在欠条上签名，且无证据证明借款用于夫妻共同生活或共同经营，故不承担共同还款责任。,[]
011eca99-a16e-4777-a9de-ac86009d6373,ok,deepseek-v4-pro,0,70000,购买价款,(2020)闽0823民初1901号,上杭县人民法院,基层法院,2020-09-14,,福建,判决书,民事,合同纠纷,一审,0,"[""自然人""]","[""自然人""]",1,"[""虚拟币""]","[""买卖/兑换""]",买卖合同,未明确,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国民法通则》第一百零八条"",""《中华人民共和国合同法》第八条"",""《中华人民共和国合同法》第十二条"",""《中华人民共和国合同法》第九十四条"",""《中华人民共和国合同法》第一百零七条"",""《中华人民共和国民事诉讼法》第六十四条""]",[],[],"[""返还本金""]",支持返还本金,法院认为双方已达成股权转让约定，但合同目的无法实现，符合法定解除条件，故支持返还转让款。,[]
169e63f3-bbbe-4ea5-8343-b11f00d8f089,ok,deepseek-v4-pro,0,300000,支付结算金额,(2022)粤01刑终1441号,广东省广州市中级人民法院,中级法院,2022-09-27,,广东,判决书,刑事,帮助信息网络犯罪活动罪,二审,1,"[""人民检察院""]","[""自然人""]",1,"[""虚拟货币""]","[""买卖/兑换"",""帮助信息网络犯罪活动""]",帮助信息网络犯罪活动罪,未明确,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国刑法》第二百八十七条之二"",""《中华人民共和国刑法》第五十二条"",""《中华人民共和国刑法》第五十三条"",""《中华人民共和国刑法》第六十四条"",""《中华人民共和国刑事诉讼法》第二百三十六条第一款第(二)项"",""《关于办理非法利用信息网络、帮助信息网络犯罪活动等刑事案件适用法律若干问题的解释》第十一条第(三)项"",""《关于办理非法利用信息网络、帮助信息网络犯罪活动等刑事案件适用法律若干问题的解释》第十一条第(七)项"",""《关于办理非法利用信息网络、帮助信息网络犯罪活动等刑事案件适用法律若干问题的解释》第十二条第一款第(四)项"",""《关于办理非法利用信息网络、帮助信息网络犯罪活动等刑事案件适用法律若干问题的解释》第十二条第一款第(七)项""]",[],[],"[""其他""]",改判帮助信息网络犯罪活动罪，维持量刑，追缴违法所得,二审法院认为伍某某明知他人利用信息网络实施犯罪仍提供帮助，情节严重，构成帮助信息网络犯罪活动罪；其辩解买卖虚拟货币不合常理，不予采信。,[]
d0d93f48-f803-443d-a518-aa15009e443d,ok,deepseek-v4-pro,0,44866011.9,赌资,(2018)苏1182刑初259号,扬中市人民法院,基层法院,2019-01-21,,江苏,判决书,刑事,开设赌场罪,一审,0,"[""人民检察院""]","[""自然人""]",1,"[""富贵豆""]","[""赌博"",""买卖/兑换""]",开设赌场罪,未明确,涉嫌犯罪,不适用,不适用,不适用,[],"[""《中华人民共和国刑法》第三百零三条第二款"",""《中华人民共和国刑法》第二十五条第一款"",""《中华人民共和国刑法》第二十六条第一、四款"",""《中华人民共和国刑法》第五十二条"",""《中华人民共和国刑法》第五十三条"",""《中华人民共和国刑法》第七十七条第一款"",""《中华人民共和国刑法》第六十九条第一、三款"",""《中华人民共和国刑法》第六十四条"",""《最高人民法院、最高人民检察院〈关于办理赌博刑事案件具体应用法律若干问题的解释〉》第二条"",""《最高人民法院、最高人民检察院〈关于办理赌博刑事案件具体应用法律若干问题的解释〉》第八条""]",[],[],"[""涉嫌犯罪""]",定罪处罚,法院认为，被告人高某某、雷某某以营利为目的，在计算机网络上建立赌博网站并接受投注，情节严重，其行为已构成开设赌场罪。在案证据足以证明两被告人明知或应当明知富贵乐园网站发行富贵豆作为筹码投注，设置富贵豆转移功能，存在大量交易富贵豆变现。,[]
715a9e34-96db-42a8-9005-ac9400a2400c,ok,deepseek-v4-pro,0,300000,购买价款,(2020)鲁02民终7532号,山东省青岛市中级人民法院,中级法院,2020-09-10,,山东,判决书,民事,买卖合同纠纷,二审,1,"[""自然人""]","[""自然人"",""法人""]",1,"[""职信币""]","[""买卖/兑换"",""发币/ICO""]",买卖合同,未明确,合同无效,不适用,无效,不适用,"[""违反法律强制性规定"",""违反金融监管政策""]","[""《中华人民共和国合同法》第五十二条第五项"",""《中华人民共和国民事诉讼法》第一百四十四条"",""《中华人民共和国民事诉讼法》第一百七十条第一款第一项""]","[""《关于防范代币发行融资风险的公告》""]","[""2017九四公告""]","[""合同无效"",""返还本金"",""违反强制性规定"",""监管政策影响私法效力""]",驳回上诉，维持原判,法院认为《职信链早期用户特别服务协议》实质为职信币买卖合同，违反法律强制性规定及金融监管政策，应属无效，合同相对人包括初某某、尉某某、李某某、世佳职信，应共同返还30万元购币款。,[]
7d8d23fe-a901-4e33-b030-af7900c6247a,ok,deepseek-v4-pro,0,,,(2022)粤14民终1541号,广东省梅州市中级人民法院,中级法院,2022-10-27,,广东,判决书,民事,房屋租赁合同纠纷,二审,1,"[""自然人""]","[""法人""]",1,"[""虚拟货币""]","[""挖矿""]",房屋租赁合同,未明确,不适用,合法有效,不适用,有效,[],"[""《中华人民共和国民法典》第五百零二条"",""《中华人民共和国民法典》第五百六十二条"",""《中华人民共和国民法典》第五百六十五条"",""《中华人民共和国民法典》第五百六十六条"",""《中华人民共和国民法典》第七百零三条"",""《中华人民共和国民事诉讼法》第六十七条"",""《中华人民共和国民事诉讼法》第一百七十七条第一款第一项"",""《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第三百二十一条""]",[],[],"[""证据不足"",""请求权基础不成立""]",驳回上诉，维持原判,法院认为，房屋租赁合同有效，上诉人无单方解除权，其搬离行为不产生解除效力；被上诉人因上诉人未按期缴纳租金而享有解除权，合同于2022年4月8日解除。变压器保证金不予返还，因合同约定不予退还保证金的情形未排除变压器保证金，且上诉人违约。,[]
c1531459-61fd-4063-9076-aeef00498d96,ok,deepseek-v4-pro,0,499491.115,投资款,（2022）湘0111民初4747号,长沙市雨花区人民法院,基层法院,2022-05-17,,湖南,判决书,民事,委托理财合同纠纷,一审,0,"[""自然人""]","[""法人"",""自然人""]",1,"[""币安英雄""]","[""委托理财/代投""]",委托合同,未明确,未明确,不适用,未明确,不适用,"[""证据不足""]","[""《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第九十条""]",[],[],"[""证据不足""]",驳回诉请,原告提供的证据不足以证明被告鲸梦公司的工作人员向其推销币安英雄游戏项目并接受委托理财，亦不能证明款项归零系被告工作人员所致，故驳回诉请。,[]
7457ea81-e8c1-40c7-86f2-aac500ee914a,ok,deepseek-v4-pro,0,513662.01,犯罪金额,(2019)粤0307刑初1206号,深圳市龙岗区人民法院,基层法院,2019-06-26,,广东,判决书,刑事,职务侵占罪,一审,0,"[""人民检察院""]","[""自然人""]",1,"[""以太币""]","[""买卖/兑换""]",职务侵占罪,未明确,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国刑法》第二百七十一条"",""《中华人民共和国刑法》第六十七条第三款"",""《中华人民共和国刑法》第六十四条""]",[],[],"[""其他""]",定罪处罚,被告人杜某某利用职务便利，将本单位财物非法占为己有，数额较大，构成职务侵占罪。其认罪态度较好，退回部分损失并获谅解，依法从轻处罚。,[]
c5f8d175-9260-4352-8996-aaa400b10c1b,ok,deepseek-v4-pro,0,,,(2019)鲁0104民初873号,济南市槐荫区人民法院,基层法院,2019-06-27,,山东,判决书,民事,合同纠纷,一审,0,"[""自然人""]","[""法人"",""自然人""]",1,"[""红币""]","[""买卖/兑换"",""发币/ICO""]",,未明确,合同无效,不适用,无效,不适用,"[""证据不足"",""违反法律强制性规定""]","[""《中华人民共和国民事诉讼法》第64条"",""《中华人民共和国民事诉讼法》第144条""]","[""《关于防范比特币风险的通知》""]","[""2013五部委通知""]","[""证据不足"",""合同无效"",""违反强制性规定""]",驳回诉请,原告未能提供证据证明与被告存在合同关系，且购买虚拟货币系违反法律法规的无效行为，故不予支持。,[]
739199de-a316-4ec2-bd39-ab2d00b5f277,ok,deepseek-v4-pro,0,6672.25,被害人损失,(2019)豫0403刑初409号,平顶山市卫东区人民法院,基层法院,2019-12-03,,河南,判决书,刑事,盗窃罪,一审,0,"[""人民检察院""]","[""自然人""]",1,"[""莱特币""]","[""挖矿""]",盗窃罪,未明确,不适用,不适用,不适用,不适用,[],"[""《中华人民共和国刑法》第二百六十四条"",""《中华人民共和国刑法》第六十七条第一款"",""《中华人民共和国刑法》第五十二条"",""《中华人民共和国刑法》第五十三条"",""《中华人民共和国刑法》第六十四条"",""《中华人民共和国刑法》第七十二条第一款、第三款"",""《中华人民共和国刑法》第七十三条第二款、第三款"",""《中华人民共和国刑法》第六十一条"",""《中华人民共和国刑事诉讼法》第十五条""]",[],[],"[""其他""]",定罪处罚,被告人韩某某以非法占用为目的，私自接电线盗取电力供自己使用，数额较大，其行为已构成盗窃罪。,[]
