doc_id,dsv4_status,dsv4_error,dsv4_model,dsv4_temperature,case_amount,case_amount_old,case_amount_dsv4,case_number,court_name,court_level,judgment_date,first_instance_case_number,region,doc_type,case_type_primary,case_type_secondary,procedure_stage,is_appeal,plaintiff_types,defendant_types,vc_involved,currency_types,activity_type,legal_characterization,vc_property_legality,contract_validity,contract_validity_regex,reason_for_invalidity,cited_laws,cited_policies,judicial_framing,outcome_summary,reasoning_summary,year,post2017,post2021,case_domain,contract_invalid,contract_invalid_strict,amount_master_cny,llm_top_case_amount_cny,regex_text_amount_max_cny,amount_master_source,amount_regex_fallback_flag,amount_llm_regex_conflict_flag,log_amount_master,high_amount,log_llm_case_amount,log_regex_text_max,amount_quartile,q4_amount,region_province,region_macro,region_big4,court_level_group,cause_group,transaction_type,year_int,year_c,amount_log,amount_log_llm,amount_log_regex,transaction_code,transaction_label,region_macro_code,region_macro_label,court_level_code,court_level_label,province_cluster,cause_code,cause_label,amount_top1,amount_winsor_cny,amount_log_winsor,amount_positive
0004eca6-287f-431c-968c-ac5c00be4303,ok,,deepseek-ai/DeepSeek-V4-Flash,0.0,1000.0,2100.0,1000.0,（2020）浙0203刑初680号,宁波市海曙区人民法院,基层法院,2020-09-08,,浙江省,判决书,刑事,贩卖、运输毒品罪,一审,0.0,"[""人民检察院""]","[""自然人"",""自然人""]",1.0,"[""比特币""]",其他,贩卖、运输毒品罪,未明确,,1.0,[],"[""《中华人民共和国刑法》第三百四十七条第一款、第四款、第七款"",""《中华人民共和国刑法》第三百五十七条"",""《中华人民共和国刑法》第七十二条第一款、第三款"",""《中华人民共和国刑法》第七十三条第二款、第三款"",""《中华人民共和国刑法》第六十四条"",""《中华人民共和国刑事诉讼法》第十五条"",""《中华人民共和国刑事诉讼法》第二百零一条""]",[],"[""认罪认罚"",""退缴违法所得"",""缓刑""]",被告人程某某、赵某某犯贩卖、运输毒品罪，均判处有期徒刑九个月，缓刑一年六个月，并处罚金人民币三千元；已退缴的违法所得予以没收，违禁品和作案工具予以没收。,被告人程某某、赵某某违反国家毒品管理规定，明知是毒品大麻仍予以贩卖、运输，构成贩卖、运输毒品罪；鉴于二人自愿认罪认罚并退缴违法所得，犯罪情节较轻，有悔罪表现，依法从宽处理并宣告缓刑。,2020.0,1.0,0.0,刑事,,,2100.0,2100.0,3000.0,llm_top_case_amount,0.0,0.0,7.650168700845001,0.0,7.650168700845001,8.006700845440367,Q1,0,浙江,东部,1,基层法院,走私、贩卖、运输、制造毒品罪,其他/未分类,2020,0.0,7.650168700845001,7.650168700845001,8.006700845440367,OtherUnclassified,其他/未分类,East,东部,Basic,基层法院,浙江,CauseOther,其他案由,0,2100.0,7.650168700845001,1
00088cd3-9fe7-49a2-ba74-b23000314424,ok,,deepseek-ai/DeepSeek-V4-Flash,0.0,900000.0,900000.0,900000.0,（2023）湘0602刑初166号,湖南省岳阳市岳阳楼区人民法院,基层法院,2023-06-26,,湖南省,判决书,刑事,帮助信息网络犯罪活动,一审,0.0,"[""人民检察院""]","[""自然人""]",1.0,"[""虚拟币""]",帮助信息网络犯罪活动,帮助信息网络犯罪活动罪,未明确,,1.0,[],"[""《中华人民共和国刑法》第二百八十七条之二"",""《中华人民共和国刑法》第二十五条第一款"",""《中华人民共和国刑法》第二十六条第一款、第四款"",""《中华人民共和国刑法》第六十七条第三款"",""《中华人民共和国刑法》第七十二条第一款、第三款"",""《中华人民共和国刑法》第七十三条第二款、第三款"",""《中华人民共和国刑法》第五十二条"",""《中华人民共和国刑法》第五十三条第一款"",""《中华人民共和国刑法》第六十四条"",""《中华人民共和国刑事诉讼法》第十五条"",""《中华人民共和国刑事诉讼法》第二百零一条""]",[],"[""风险自担"",""非法债务"",""不受法律保护"",""返还本金"",""折价赔偿"",""证据不足"",""移送公安""]",被告人余某2犯帮助信息网络犯罪活动罪，判处有期徒刑六个月，缓刑一年，并处罚金人民币三千元；追缴违法所得人民币6000元，上缴国库。,被告人余某2明知他人利用信息网络实施犯罪，仍提供银行卡绑定平台进行转账的支付结算帮助，情节严重，构成帮助信息网络犯罪活动罪；在共同犯罪中起主要作用，系主犯；到案后如实供述、认罪认罚、退缴违法所得并赔偿被害人损失，可从轻处罚并适用缓刑。,2023.0,1.0,1.0,刑事,,,900000.0,900000.0,10000.0,llm_top_case_amount,0.0,1.0,13.71015115341694,1.0,13.71015115341694,9.210440366976515,Q4,1,湖南,中部,0,基层法院,帮助信息网络犯罪活动罪,其他/未分类,2023,3.0,13.710151153416941,13.710151153416941,9.210440366976517,OtherUnclassified,其他/未分类,Central,中部,Basic,基层法院,湖南,CauseOther,其他案由,0,900000.0,13.710151153416941,1
0014061e-e139-439b-b45a-a9c200d071bd,ok,,deepseek-ai/DeepSeek-V4-Flash,0.0,1041848.0,1041848.0,1041848.0,(2018)苏0106刑初401号,南京市鼓楼区人民法院,基层法院,2018-10-22,,江苏省,判决书,刑事,非法获取计算机信息系统数据罪,一审,0.0,"[""人民检察院""]","[""自然人""]",1.0,"[""龙币""]",其他,非法获取计算机信息系统数据罪,未明确,,1.0,[],"[""《中华人民共和国刑法》第二百二十四条第(五)项"",""《中华人民共和国刑法》第六十七条第三款"",""《中华人民共和国刑法》第七十二条第一款、第三款"",""《中华人民共和国刑法》第七十三条第二款、第三款"",""《中华人民共和国刑法》第六十四条""]",[],"[""技术手段获取计算机信息系统数据"",""情节特别严重""]",被告人马某某犯非法获取计算机信息系统数据罪，判处有期徒刑三年，缓刑四年，并处罚金人民币十万元；退出的266508.58元发还被害单位。,被告人马某某利用系统漏洞非法获取龙币并出售获利，其行为构成非法获取计算机信息系统数据罪，情节特别严重，但归案后如实供述，依法从轻处罚。,2018.0,1.0,0.0,刑事,,,1041848.0,1041848.0,1041848.0,llm_top_case_amount,0.0,0.0,13.856507577166816,1.0,13.856507577166816,13.856507577166816,Q4,1,江苏,东部,0,基层法院,非法侵入计算机信息系统罪,其他/未分类,2018,-2.0,13.856507577166816,13.856507577166816,13.856507577166816,OtherUnclassified,其他/未分类,East,东部,Basic,基层法院,江苏,CauseOther,其他案由,0,1041848.0,13.856507577166816,1
0019e48c-7aae-4794-a924-aaee008db447,ok,,deepseek-ai/DeepSeek-V4-Flash,0.0,2086008.73,2086008.73,2086008.73,(2019)湘1321刑初62号,双峰县人民法院,基层法院,2019-04-17,,湖南省,判决书,刑事,诈骗罪,一审,0.0,"[""人民检察院""]","[""自然人""]",0.0,[],,诈骗罪,,,1.0,[],"[""《中华人民共和国刑法》第二百六十六条"",""《中华人民共和国刑法》第二十五条第一款"",""《中华人民共和国刑法》第二十六条第二款"",""《中华人民共和国刑法》第二十七条"",""《中华人民共和国刑法》第六十四条"",""《中华人民共和国刑法》第六十七条第三款"",""《中华人民共和国刑事诉讼法》第二百条第(一)项""]",[],"[""从犯"",""坦白"",""追缴违法所得""]",被告人吴某某犯诈骗罪，判处有期徒刑七年五个月，并处罚金人民币十五万元；继续追缴违法所得1647379.23元，返还被害人。,被告人吴某某以非法占有为目的，伙同他人虚构事实、隐瞒真相，利用网络诈骗平台骗取他人财物共计2086008.73元，数额特别巨大，构成诈骗罪；在犯罪集团中起次要作用，系从犯，且到案后如实供述，具有坦白情节，依法减轻处罚。,2019.0,1.0,0.0,刑事,,,2086008.73,2086008.73,2925173.73,llm_top_case_amount,0.0,0.0,14.550763578961506,1.0,14.550763578961506,14.888864773616062,Q4,1,湖南,中部,0,基层法院,诈骗罪,其他/未分类,2019,-1.0,14.550763578961506,14.550763578961506,14.888864773616062,OtherUnclassified,其他/未分类,Central,中部,Basic,基层法院,湖南,CauseOther,其他案由,0,2086008.73,14.550763578961506,1
001deda5-d5be-4464-8fc7-b126015526e1,ok,,deepseek-ai/DeepSeek-V4-Flash,0.0,243079.5,50000.0,243079.5,(2023)豫0721民初1998号,新乡县人民法院,基层法院,2023-11-14,,河南省,判决书,民事,买卖合同纠纷,一审,0.0,"[""自然人""]","[""自然人""]",1.0,"[""USDT"",""U币""]",场外交易(OTC),买卖合同纠纷,非法金融活动,无效,1.0,"[""违反法律强制性规定"",""违背公序良俗"",""非法债务""]","[""《中华人民共和国民法典》第一百五十三条"",""《中华人民共和国民法典》第一百五十七条""]","[""《关于防范代币发行融资风险的公告》"",""《关于进一步防范和处置虚拟货币交易炒作风险的通知》""]","[""非法债务不受法律保护"",""风险自担"",""返还本金""]",部分支持原告诉请，判令被告返还原告50000元及资金占用损失，驳回其他诉讼请求。,法院认定双方构成买卖合同关系，买卖虚拟货币属于非法金融活动，相关民事法律行为无效，损失由原告自行承担；但被告对第一个账号的50000元曾承诺兜底，存在过错，应返还该笔款项。,2023.0,1.0,1.0,民商事,1.0,1.0,50000.0,50000.0,243079.5,llm_top_case_amount,0.0,0.0,10.819798284210286,0.0,10.819798284210286,12.401147943183163,Q2,0,河南,中部,0,基层法院,买卖合同纠纷,交易/买卖,2023,3.0,10.819798284210286,10.819798284210286,12.401147943183163,Trading,交易/买卖,Central,中部,Basic,基层法院,河南,Cause02,买卖合同纠纷,0,50000.0,10.819798284210286,1
00284eb4-ed66-468e-89f4-ac6a0019ef30,ok,,deepseek-ai/DeepSeek-V4-Flash,0.0,200000.0,117530.0,200000.0,(2020)川11民终1067号,四川省乐山市中级人民法院,中级法院,2020-11-02,,四川省,判决书,民事,合同纠纷,二审,1.0,"[""自然人""]","[""自然人""]",1.0,"[""ETH""]",挖矿,合同纠纷,不受法律保护,有效,1.0,[],"[""《中华人民共和国合同法》第六条"",""《中华人民共和国合同法》第八条"",""《中华人民共和国合同法》第六十条"",""《中华人民共和国合同法》第六十七条"",""《中华人民共和国合同法》第九十七条"",""《中华人民共和国合同法》第九十八条"",""《中华人民共和国合同法》第一百零七条"",""《中华人民共和国合同法》第一百一十三条"",""《中华人民共和国合同法》第一百一十四条"",""《中华人民共和国民事诉讼法》第六十四条"",""《中华人民共和国民事诉讼法》第一百七十条第一款第二项"",""《关于民事诉讼证据的若干规定》(法释〔2019〕19号)第四条""]","[""《关于防范代币发行融资风险的公告》""]","[""风险自担"",""不受法律保护""]",二审改判：解除合同，瞿某某返还刘某某代付电费10万元并支付117530元（品迭后），驳回刘某某要求返还以太币的请求，撤销一审违约金50万元判决。,法院认为以太币作为虚拟货币不具有法偿性和强制性，投资交易不受法律保护，故不支持返还以太币的请求；刘某某迟延支付电费不构成提前退场违约，故不支付50万元违约金；合同解除后相关费用经品迭后由瞿某某支付余额。,2020.0,1.0,0.0,民商事,0.0,0.0,117530.0,117530.0,2209860000.0,llm_top_case_amount,0.0,0.0,11.674457407556629,0.0,11.674457407556629,21.516195002505704,Q2,0,四川,西部,0,中级法院,合同纠纷,挖矿,2020,0.0,11.674457407556627,11.674457407556627,21.516195002505704,Mining,挖矿,West,西部,Intermediate,中级法院,四川,Cause01,合同纠纷,0,117530.0,11.674457407556627,1
003459f4-1751-46cc-9d9c-ae82008cf150,ok,,deepseek-ai/DeepSeek-V4-Flash,0.0,30000.0,20000.0,30000.0,(2021)鄂0105民初11121号,武汉市汉阳区人民法院,基层法院,2022-01-26,,湖北省,判决书,民事,合同纠纷,一审,0.0,"[""自然人""]","[""自然人""]",0.0,[],,民间借贷,,有效,1.0,[],"[""《中华人民共和国合同法》第四十条"",""《中华人民共和国合同法》第六十条"",""《中华人民共和国民事诉讼法》第一百四十七条""]",[],"[""合法有效"",""返还本金""]",被告石某某兵向原告郭某某支付欠款20000元及相应违约金，驳回原告其他诉讼请求。,原告与被告初始合作经营酒店，后原告退出，被告出具借条确认欠款，双方形成新的债权债务关系，合法有效，被告未按期还款应承担违约责任。,2022.0,1.0,1.0,民商事,0.0,0.0,20000.0,20000.0,550000.0,llm_top_case_amount,0.0,0.0,9.90353755128617,0.0,9.90353755128617,13.21767537538882,Q1,0,湖北,中部,0,基层法院,合同纠纷,其他民商事,2022,2.0,9.90353755128617,9.90353755128617,13.217675375388819,OtherCivil,其他民商事,Central,中部,Basic,基层法院,湖北,Cause01,合同纠纷,0,20000.0,9.90353755128617,1
00354bf2-f53b-476f-b505-ab35011ef218,ok,,deepseek-ai/DeepSeek-V4-Flash,0.0,1500.0,1500.0,1500.0,(2019)新7101民初749号,乌鲁木齐铁路运输法院,基层法院,2019-11-18,,新疆维吾尔自治区,判决书,民事,委托合同纠纷,一审,0.0,"[""自然人""]","[""自然人""]",1.0,"[""嘉诚币""]",其他,委托关系,未明确,有效,1.0,[],"[""《中华人民共和民法总则》第十七条"",""《中华人民共和民法总则》第十八条"",""《中华人民共和国民法通则》第十一条"",""《中华人民共和国民法通则》第五十四条"",""《中华人民共和国民法通则》第六十三条"",""《中华人民共和国民事诉讼法》第六十四条"",""《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第九十条""]",[],"[""风险自担""]",驳回原告贾某某的诉讼请求,原告作为完全民事行为能力人，请求被告注册账户应预见风险，被告行为无不当，原告应自行承担后果。,2019.0,1.0,0.0,民商事,0.0,0.0,1500.0,1500.0,1500.0,llm_top_case_amount,0.0,0.0,7.313886831633462,0.0,7.313886831633462,7.313886831633462,Q1,0,新疆,西部,0,基层法院,委托合同纠纷,其他民商事,2019,-1.0,7.313886831633462,7.313886831633462,7.313886831633462,OtherCivil,其他民商事,West,西部,Basic,基层法院,新疆,Cause03,委托合同纠纷,0,1500.0,7.313886831633462,1
003560b3-b4f4-4793-8a27-ae040104843e,ok,,deepseek-ai/DeepSeek-V4-Flash,0.0,109226.0,54613.0,109226.0,(2021)粤0303民初21484号,深圳市罗湖区人民法院,基层法院,2021-08-18,,广东省,判决书,民事,买卖合同纠纷,一审,0.0,"[""自然人""]","[""自然人""]",1.0,"[""UTT"",""云pay积分""]",场外交易(OTC),买卖合同纠纷,未经批准的虚拟货币,无效,1.0,"[""违反法律强制性规定"",""损害社会公共利益""]","[""《中华人民共和国合同法》第五十二条第四项"",""《中华人民共和国合同法》第五十八条""]","[""《关于防范代币发行融资风险的公告》""]","[""合同无效"",""返还本金"",""折价赔偿""]",判决被告返还原告交易款项的50%即54613元，驳回原告其他诉讼请求。,法院认定双方买卖虚拟货币的合同因违反《关于防范代币发行融资风险的公告》而无效，双方均有过错，酌定被告返还50%交易款项。,2021.0,1.0,1.0,民商事,1.0,1.0,54613.0,54613.0,109226.0,llm_top_case_amount,0.0,0.0,10.908045539121916,0.0,10.908045539121916,11.601183564478273,Q2,0,广东,东部,1,基层法院,买卖合同纠纷,交易/买卖,2021,1.0,10.908045539121915,10.908045539121915,11.601183564478271,Trading,交易/买卖,East,东部,Basic,基层法院,广东,Cause02,买卖合同纠纷,0,54613.0,10.908045539121915,1
003b58f2-39b6-435e-9492-a85100b0af2d,ok,,deepseek-ai/DeepSeek-V4-Flash,0.0,230000.0,230000.0,230000.0,(2017)浙0902刑初316号,舟山市定海区人民法院,基层法院,2017-09-19,,浙江省,判决书,刑事,赌博罪,一审,0.0,"[""人民检察院""]","[""自然人""]",1.0,"[""虚拟货币"",""银子""]",场外交易(OTC),赌博罪,未明确,,1.0,[],"[""《中华人民共和国刑法》第三百零三条第一款"",""《中华人民共和国刑法》第二十五条第一款"",""《中华人民共和国刑法》第六十七条第三款"",""《中华人民共和国刑法》第六十四条"",""《中华人民共和国刑法》第七十二条第一款、第三款"",""《中华人民共和国刑法》第七十三条""]",[],"[""共同犯罪"",""提供虚拟货币与法定货币兑换服务""]",被告人王某某犯赌博罪，判处有期徒刑六个月，缓刑一年，并处罚金一万元；违法所得五千元及作案工具予以没收。,被告人以营利为目的，明知他人利用网络游戏实施赌博犯罪，仍提供虚拟货币与法定货币的兑换服务，构成赌博罪的共同犯罪。,2017.0,1.0,0.0,刑事,,,230000.0,230000.0,10000.0,llm_top_case_amount,0.0,1.0,12.345838935721968,1.0,12.345838935721968,9.210440366976515,Q3,0,浙江,东部,1,基层法院,赌博罪,交易/买卖,2017,-3.0,12.345838935721968,12.345838935721968,9.210440366976517,Trading,交易/买卖,East,东部,Basic,基层法院,浙江,CauseOther,其他案由,0,230000.0,12.345838935721968,1
